symbol,start_date,end_date,initial_balance,final_balance,return_pct,num_trades,overbought,oversold,use_sma,sma_window,use_macd,error
FI,2023-07-03,2024-07-02,10000.0,10079.21044921875,0.7921044921875,24.0,70.0,30.0,False,N/A,True,
FMC,2023-07-03,2024-07-02,10000.0,6550.599952697754,-34.49400047302246,66.0,70.0,30.0,False,N/A,True,
F,2023-07-03,2024-07-02,10000.0,10022.839311599731,0.22839311599731443,53.0,70.0,30.0,False,N/A,True,
FTNT,2023-07-03,2024-07-02,10000.0,8844.580242156982,-11.554197578430175,39.0,70.0,30.0,False,N/A,True,
FTV,2023-07-03,2024-07-02,10000.0,8479.541053771973,-15.204589462280275,44.0,70.0,30.0,False,N/A,True,
FOXA,2023-07-03,2024-07-02,10000.0,10291.989936828613,2.919899368286133,7.0,70.0,30.0,False,N/A,True,
FOX,2023-07-03,2024-07-02,10000.0,10473.159866333008,4.731598663330079,14.0,70.0,30.0,False,N/A,True,
BEN,2023-07-03,2024-07-02,10000.0,8691.489976882935,-13.085100231170655,43.0,70.0,30.0,False,N/A,True,
FCX,2023-07-03,2024-07-02,10000.0,10956.599742889404,9.565997428894043,32.0,70.0,30.0,False,N/A,True,
GRMN,2023-07-03,2024-07-02,10000.0,15554.230613708496,55.542306137084964,22.0,70.0,30.0,False,N/A,True,
IT,2023-07-03,2024-07-02,10000.0,13431.89990234375,34.3189990234375,27.0,70.0,30.0,False,N/A,True,
GE,2023-07-03,2024-07-02,10000.0,10743.431686401367,7.434316864013672,4.0,70.0,30.0,False,N/A,True,
GEHC,2023-07-03,2024-07-02,10000.0,9365.810272216797,-6.3418972778320315,40.0,70.0,30.0,False,N/A,True,
GEV,2023-07-03,2024-07-02,10000.0,10000.0,0.0,0.0,70.0,30.0,False,N/A,True,
GEN,2023-07-03,2024-07-02,10000.0,12181.330299377441,21.813302993774414,37.0,70.0,30.0,False,N/A,True,
GNRC,2023-07-03,2024-07-02,10000.0,12104.000289916992,21.04000289916992,47.0,70.0,30.0,False,N/A,True,
GD,2023-07-03,2024-07-02,10000.0,11934.319274902344,19.343192749023437,6.0,70.0,30.0,False,N/A,True,
GIS,2023-07-03,2024-07-02,10000.0,9052.21947479248,-9.477805252075196,36.0,70.0,30.0,False,N/A,True,
GM,2023-07-03,2024-07-02,10000.0,11076.37085533142,10.76370855331421,28.0,70.0,30.0,False,N/A,True,
GPC,2023-07-03,2024-07-02,10000.0,8299.240219116211,-17.00759780883789,42.0,70.0,30.0,False,N/A,True,
GILD,2023-07-03,2024-07-02,10000.0,10760.760482788086,7.607604827880859,54.0,70.0,30.0,False,N/A,True,
GPN,2023-07-03,2024-07-02,10000.0,7483.599655151367,-25.164003448486326,60.0,70.0,30.0,False,N/A,True,
GL,2023-07-03,2024-07-02,10000.0,7536.669975280762,-24.633300247192384,37.0,70.0,30.0,False,N/A,True,
GDDY,2023-07-03,2024-07-02,10000.0,11326.329154968262,13.263291549682618,8.0,70.0,30.0,False,N/A,True,
GS,2023-07-03,2024-07-02,10000.0,10873.040100097656,8.730401000976562,29.0,70.0,30.0,False,N/A,True,
HAL,2023-07-03,2024-07-02,10000.0,9543.659690856934,-4.563403091430664,38.0,70.0,30.0,False,N/A,True,
